month,center_right_x,center_right_y,center_left_x,center_left_y,disease_radius,wounds_radius,other_radius
1854-04,5159.05,1387.8,1590.53,1407.55,1371.94,205.18,501.03
1854-05,5159.05,1387.8,1590.53,1407.55,1789.59,249.41,722.27
1854-06,5159.05,1387.8,1590.53,1407.55,2090.21,324.36,651.34
1854-07,5159.05,1387.8,1590.53,1407.55,1568.22,390.69,441.98
1854-08,5159.05,1387.8,1590.53,1407.55,1146.75,639.11,8.92
1854-09,5159.05,1387.8,1590.53,1407.55,849.79,448.26,8.92
1854-10,5159.05,1387.8,1590.53,1407.55,1064.4,330.55,8.92
1854-11,5159.05,1387.8,1590.53,1407.55,1107.86,6.31,217.43
1854-12,5159.05,1387.8,1590.53,1407.55,760.35,14.38,6.31
1855-01,5159.05,1387.8,1590.53,1407.55,8.92,18.92,216.94
1855-02,5159.05,1387.8,1590.53,1407.55,151.2,12.62,74.21
1855-03,5159.05,1387.8,1590.53,1407.55,185.78,19.95,133.78
1855-04,5159.05,1387.8,1590.53,1407.55,821.73,11.97,261.56
1855-05,5159.05,1387.8,1590.53,1407.55,794.06,279.26,209.53
1855-06,5159.05,1387.8,1590.53,1407.55,973.69,494.67,193.68
1855-07,5159.05,1387.8,1590.53,1407.55,641.77,357.15,213.58
1855-08,5159.05,1387.8,1590.53,1407.55,686.29,387.06,151.65
1855-09,5159.05,1387.8,1590.53,1407.55,409.23,513.89,139.57
1855-10,5159.05,1387.8,1590.53,1407.55,362.34,188.25,134.73
1855-11,5159.05,1387.8,1590.53,1407.55,446.89,129.67,189.59
1855-12,5159.05,1387.8,1590.53,1407.55,305.34,16.45,172.45
1856-01,5159.05,1387.8,1590.53,1407.55,22.03,14.1,182.12
1856-02,5159.05,1387.8,1590.53,1407.55,126.69,6.31,188.84
1856-03,5159.05,1387.8,1590.53,1407.55,16.45,16.45,141.75
